Date,FIPS,Recip_County,Recip_State,Series_Complete_Yes,Series_Complete_Pop_Pct,pop
9/14/2022,29169,Pulaski County,MO,"29,613",56.3,50695.65217
9/14/2022,21025,Breathitt County,KY,"6,761",53.5,4715408.194
9/14/2022,35051,Sierra County,NM,"7,317",67.8,41408.16327
9/14/2022,17095,Knox County,IL,"29,878",60.1,8757.303371
9/14/2022,41057,Tillamook County,OR,"17,764",65.7,44725.64612
9/14/2022,41051,Multnomah County,OR,"656,243",80.7,38880.74957
9/14/2022,51043,Clarke County,VA,"9,613",65.8,95305.51181
9/14/2022,26033,Chippewa County,MI,"26,396",70.7,20379.43925
9/14/2022,24027,Howard County,MD,"286,690",88,31369.31818
9/14/2022,45009,Bamberg County,SC,"7,341",52.2,19426.47059
9/14/2022,40131,Rogers County,OK,"44,305",47.9,2856.410256
9/14/2022,20127,Morris County,KS,"3,193",56.8,28419.04762
9/14/2022,50021,Rutland County,VT,"41,186",70.8,35124.48133
9/14/2022,19183,Washington County,IA,"12,674",57.7,4639.15547
9/14/2022,66010,Guam,GU,"107,082",63.6,11255.46218
9/14/2022,48015,Austin County,TX,"14,202",47.3,149728.5223
9/14/2022,42041,Cumberland County,PA,"184,142",72.7,2494.505495
9/14/2022,31083,Harlan County,NE,"1,376",40.7,12147.1519
9/14/2022,36021,Columbia County,NY,"45,384",76.3,37541.13924
9/14/2022,05017,Chicot County,AR,"5,638",55.7,18347.36842
9/14/2022,17049,Effingham County,IL,"16,929",49.8,760003.2895
9/14/2022,18149,Starke County,IN,"8,837",38.4,64589.85201
9/14/2022,19025,Calhoun County,IA,"5,841",60.4,6318.295739
9/14/2022,46011,Brookings County,SD,"18,739",53.4,6155.778894
9/14/2022,50007,Chittenden County,VT,"124,325",75.9,67052.92479
9/14/2022,26149,St. Joseph County,MI,"27,792",45.6,6920.716113
9/14/2022,18129,Posey County,IN,"12,429",48.9,1918.699187
9/14/2022,21211,Shelby County,KY,"23,403",47.7,318174.1379
9/14/2022,55105,Rock County,WI,"115,271",70.6,21483.80567
9/14/2022,29115,Linn County,MO,"5,663",47.5,351000
9/14/2022,19195,Worth County,IA,"3,873",52.5,61674.89712
9/14/2022,56025,Natrona County,WY,"37,568",47,38794.29735
9/14/2022,37049,Craven County,NC,"65,949",64.6,656267.4095
9/14/2022,18063,Hendricks County,IN,"127,542",74.9,24658.0938
9/14/2022,27159,Wadena County,MN,"6,913",50.5,42743.71859
9/14/2022,31111,Lincoln County,NE,"11,870",34,19773.17881
9/14/2022,41053,Polk County,OR,"55,482",64.5,104951.6408
9/14/2022,21065,Estill County,KY,"7,508",53.2,3582.677165
9/14/2022,21129,Lee County,KY,"3,732",50.4,35466.08315
9/14/2022,17005,Bond County,IL,"9,198",56,169.2307692
9/14/2022,29011,Barton County,MO,"3,981",33.9,23512
9/14/2022,26049,Genesee County,MI,"207,313",51.1,36624.11348
9/14/2022,38067,Pembina County,ND,"3,857",56.7,14232.43243
9/14/2022,36005,Bronx County,NY,"1,088,021",76.7,57765.95745
9/14/2022,29015,Benton County,MO,"9,539",49.1,16862.44204
9/14/2022,05103,Ouachita County,AR,"12,924",55.3,97303.63636
9/14/2022,27117,Pipestone County,MN,"5,079",55.7,119959.4937
9/14/2022,37177,Tyrrell County,NC,"2,001",49.8,9617.370892
9/14/2022,05007,Benton County,AR,"157,388",56.4,25447.76119
9/14/2022,19043,Clayton County,IA,"8,554",48.7,4877.880184
9/14/2022,47143,Rhea County,TN,"14,547",43.9,45114.52991
9/14/2022,72105,Naranjito Municipio,PR,"23,535",86.1,1235679.883
9/14/2022,48025,Bee County,TX,"16,690",51.3,8283.667622
9/14/2022,30011,Carter County,MT,399,31.9,17301.92719
9/14/2022,35005,Chaves County,NM,"29,790",46.1,130186.7572
9/14/2022,18107,Montgomery County,IN,"18,141",47.3,35735.09934
9/14/2022,01037,Coosa County,AL,"4,420",41.5,523003.1008
9/14/2022,36101,Steuben County,NY,"58,905",61.8,307938.1295
9/14/2022,48281,Lampasas County,TX,"9,660",45.1,162404.7218
9/14/2022,13015,Bartow County,GA,"40,928",38,9873.840445
9/14/2022,40145,Wagoner County,OK,"39,349",48.4,228101.8182
9/14/2022,19019,Buchanan County,IA,"11,541",54.5,12871.62162
9/14/2022,27009,Benton County,MN,"18,323",44.8,433971.1664
9/14/2022,19045,Clinton County,IA,"25,811",55.6,40449.45848
9/14/2022,13023,Bleckley County,GA,"4,795",37.2,11971.93878
9/14/2022,44001,Bristol County,RI,"39,197",80.9,2762.03966
9/14/2022,21007,Ballard County,KY,"3,101",39.3,974867.5595
9/14/2022,49033,Rich County,UT,"1,327",53.4,10119.38202
9/14/2022,17105,Livingston County,IL,"18,339",51.4,30485.50725
9/14/2022,08115,Sedgwick County,CO,"1,202",53.5,74482.61474
9/14/2022,19135,Monroe County,IA,"3,613",46.9,11846.59091
9/14/2022,13173,Lanier County,GA,"2,878",27.6,356901.9293
9/14/2022,42063,Indiana County,PA,"39,280",46.7,23335.31746
9/14/2022,21051,Clay County,KY,"9,082",45.6,15919.32773
9/14/2022,37043,Clay County,NC,"6,410",57.1,19832.24401
9/14/2022,22015,Bossier Parish,LA,"65,327",51.4,10803.65297
9/14/2022,12003,Baker County,FL,"10,838",37.1,4157.676349
9/14/2022,48351,Newton County,TX,"3,402",25,13658.65992
9/14/2022,72125,San German Municipio,PR,"24,227",80.2,8535
9/14/2022,19169,Story County,IA,"62,383",64.2,22103.85439
9/14/2022,48021,Bastrop County,TX,"51,400",57.9,85384.44444
9/14/2022,45065,McCormick County,SC,"5,704",60.3,8786.363636
9/14/2022,05091,Miller County,AR,"14,244",32.9,546501.1442
9/14/2022,08081,Moffat County,CO,"5,872",44.2,8440.677966
9/14/2022,39119,Muskingum County,OH,"42,327",49.1,27593.10345
9/14/2022,05005,Baxter County,AR,"19,750",47.1,28714.6402
9/14/2022,06055,Napa County,CA,"109,667",79.6,15373.35092
9/14/2022,37003,Alexander County,NC,"17,833",47.6,29533.21033
9/14/2022,13077,Coweta County,GA,"67,546",45.5,55931.03448
9/14/2022,54045,Logan County,WV,"18,260",57,6162.601626
9/14/2022,72109,Patillas Municipio,PR,"13,432",82.9,10353.7037
9/14/2022,05021,Clay County,AR,"6,808",46.8,24635.78947
9/14/2022,29199,Scotland County,MO,"1,321",26.9,36899.05787
9/14/2022,21229,Washington County,KY,"6,291",52,349040.9836
9/14/2022,26057,Gratiot County,MI,"18,961",46.6,53403.57143
9/14/2022,28045,Hancock County,MS,"21,640",45.4,17726.60099
9/14/2022,06033,Lake County,CA,"38,898",60.4,51356.06061
9/14/2022,37157,Rockingham County,NC,"48,074",52.8,18395.65217
9/14/2022,28077,Lawrence County,MS,"7,122",56.6,20997.95082
9/14/2022,32023,Nye County,NV,"22,164",47.6,18585.82677
9/14/2022,53045,Mason County,WA,"41,565",62.3,928.5714286
9/14/2022,37089,Henderson County,NC,"72,155",61.5,5718.662953
9/14/2022,31089,Holt County,NE,"4,388",43.6,10035019.97
9/14/2022,12067,Lafayette County,FL,"3,380",40.1,15227.58621
9/14/2022,50003,Bennington County,VT,"15,693",44.2,217843.9153
9/14/2022,38003,Barnes County,ND,"6,169",59.2,3136.67426
9/14/2022,18037,Dubois County,IN,"25,191",58.9,540858.2202
9/14/2022,51005,Alleghany County,VA,"5,893",39.7,47309.16031
9/14/2022,46045,Edmunds County,SD,"1,816",47.4,7778.554779
9/14/2022,21203,Rockcastle County,KY,"6,874",41.2,202680.1909
9/14/2022,46107,Potter County,SD,"1,329",61.7,317578.3309
9/14/2022,08009,Baca County,CO,"1,434",40,79797.07113
9/14/2022,28135,Tallahatchie County,MS,"5,853",42.4,8467.248908
9/14/2022,42103,Pike County,PA,"33,686",60.4,226579.2507
9/14/2022,37029,Camden County,NC,"6,979",64.2,13765.625
9/14/2022,13153,Houston County,GA,"81,242",51.5,8810.42654
9/14/2022,19033,Cerro Gordo County,IA,"27,287",64.3,47435.33123
9/14/2022,13127,Glynn County,GA,"44,666",52.4,35587.5576
9/14/2022,26037,Clinton County,MI,"46,593",58.5,46702.91262
9/14/2022,39125,Paulding County,OH,"8,047",43.1,22370.37037
9/14/2022,46005,Beadle County,SD,"9,504",51.5,87894.63956
9/14/2022,21039,Carlisle County,KY,"1,977",41.5,39768.96942
9/14/2022,39061,Hamilton County,OH,"521,993",63.9,49722.77228
9/14/2022,21177,Muhlenberg County,KY,"15,979",52.2,31006.79502
9/14/2022,29209,Stone County,MO,"12,207",38.2,271.4932127
9/14/2022,36079,Putnam County,NY,"74,369",75.6,5126.126126
9/14/2022,18041,Fayette County,IN,"9,649",41.8,1147767.157
9/14/2022,29179,Reynolds County,MO,"1,743",27.8,33638.42975
